housing_median_age,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,location_cluster,normalized_rooms_per_household,normalized_population_per_household,adjusted_median_income,capped_value_flag,bedroom_to_room_ratio_scaled
52.0,47500.0,False,True,False,False,4,1.33500106673234,1.7621589994517644,1.4053469322555197,0,0.22314355131420976
43.0,100000.0,False,False,True,False,0,1.5414759688735076,1.3907968450882064,1.503462669972221,0,0.2795368959873796
17.0,285800.0,True,False,False,False,1,2.011968315574671,1.570788464649111,2.5097808669284256,0,0.1552405981912839
17.0,175000.0,True,False,False,False,1,1.2578926463153663,1.3989637642205535,1.3114495796636636,0,0.38864452730835863
50.0,59200.0,False,True,False,False,4,1.7268216667915077,1.532285236170667,1.4901677757890217,0,0.22417928418774183
11.0,283200.0,True,False,False,False,1,2.0142451798804357,1.3132528787756286,2.582634314028992,0,0.14303756051193434
14.0,388700.0,True,False,False,False,1,2.207610427368342,1.57669283133949,2.974390693906905,0,0.1113129141851216
17.0,137000.0,False,True,False,False,2,2.072547263288084,1.4368560049377048,2.2931637534201523,0,0.1508994760282274
6.0,500000.0,True,False,False,False,1,2.3431311873883955,1.4556703009892318,3.6125060553582466,1,0.10865179674189904
10.0,272400.0,False,False,True,False,0,2.0184325699197476,1.4128838153091303,2.4630468935852603,0,0.13897236025679532
18.0,240000.0,True,False,False,False,0,1.5038096233110245,0.9480695502170504,1.9050984226543257,0,0.2671560430675255
4.0,265500.0,True,False,False,False,0,1.6123604668767022,1.1250879626521377,2.254351347949117,0,0.22144100925148844
31.0,305800.0,True,False,False,False,1,1.6972447289459842,1.2730187248036429,1.8732058082335747,0,0.21321939501438036
12.0,139200.0,False,True,False,False,1,1.9051741058007434,1.506241119221585,2.0732824216685963,0,0.17019480902927345
27.0,119500.0,False,True,False,False,2,1.7006747668507893,1.210051850402318,1.560192295840484,0,0.20194912522985453
15.0,54300.0,False,True,False,False,1,2.0948893727253526,1.0600262946729193,1.4180620578804017,0,0.24339972763925438
20.0,104900.0,False,False,False,True,1,1.5355699551188113,1.4633867306428383,1.4182383438618489,0,0.2522222812710859
12.0,102100.0,False,True,False,False,1,1.4943515858192216,1.052866266879906,1.1194641575325224,0,0.2696269093857267
16.0,93200.0,False,True,False,False,0,1.9360847425008985,1.2549333437369177,1.4308039698015937,0,0.18685187766680836
25.0,180200.0,False,True,False,False,2,1.999539780320082,1.2564291568757788,2.2443484577934862,0,0.14658420952423848
32.0,66600.0,False,True,False,False,1,1.8147950396298786,1.6916760106710724,1.357865972767563,0,0.18958860242501474
29.0,70300.0,False,True,False,False,1,1.40939007591454,1.4319643979530792,0.8407734534343957,0,0.2285668848842004
5.0,178800.0,False,True,False,False,2,1.7988506042297385,1.0349534684889634,1.9180198122021577,0,0.21087073173104406
38.0,157500.0,True,False,False,False,1,1.3506279300764086,1.5390913112155726,1.5975293424535275,0,0.302799021514625
11.0,184600.0,False,True,False,False,2,2.0030183305707507,1.2795263856941845,2.19658826364888,0,0.17023831783130017
12.0,54300.0,False,True,False,False,4,1.5759619832377108,1.6662304614570163,1.1848206615349008,0,0.23254131377298107
41.0,145700.0,True,False,False,False,1,1.563463164518189,1.6320869642164888,1.6229294500994182,0,0.21069769382046488
43.0,86200.0,False,True,False,False,2,1.8279690730983242,1.1948606177069592,1.7,0,0.18196838709224386
15.0,213300.0,False,True,False,False,2,2.188078172110143,1.3756153885440363,2.169861746747935,0,0.12774137801069396
6.0,216700.0,False,True,False,False,1,2.1058747987479918,1.3025244780544318,2.03100960115899,0,0.13415001312058877
9.0,176500.0,False,True,False,False,0,1.9656982626687183,1.3673333484786387,2.2678183348760546,0,0.16458430568773025
33.0,50300.0,False,True,False,False,4,1.7031233965114234,1.8181927262962105,1.2747548783981961,0,0.20966679787440187
24.0,90100.0,False,True,False,False,4,1.8054230259575188,1.146177397073255,1.9639501011991114,0,0.16662391105075597
25.0,208000.0,True,False,False,False,1,1.598646044674584,1.3808028591262156,1.642589419179364,0,0.24559296963253724
42.0,401900.0,False,False,False,True,1,1.8499504076821929,1.2598218213349928,2.303779503337939,0,0.17367466804671694
50.0,178800.0,True,False,False,False,1,1.7960538346017698,1.6431360005329727,1.6637006942355947,0,0.19115676888248254
44.0,155200.0,False,False,True,False,0,1.8255464668054382,1.2116750246880283,1.7045233937966355,0,0.17763512506032758
43.0,186400.0,True,False,False,False,1,1.6888764226944133,1.146705703694043,2.153346233191495,0,0.2067886628979316
52.0,262500.0,True,False,False,False,0,1.8556467366793061,1.2567233697114648,2.0051932575190854,0,0.17435338714477774
21.0,145300.0,True,False,False,False,1,1.6390497664807449,1.4555604193316662,1.7911728001507838,0,0.22747910300464622
18.0,105300.0,False,True,False,False,3,2.0224388512309677,1.3051794701895305,2.462782978664584,0,0.13793446749638877
35.0,345800.0,True,False,False,False,0,1.7065891482969535,1.1458998229530066,1.898762755059199,0,0.20026203178666396
29.0,206700.0,True,False,False,False,3,1.8677656505174114,1.479675681189637,1.8647519942340858,0,0.17278495962745669
34.0,500000.0,False,False,False,True,0,2.030623350211813,1.3214568416245829,2.8789407774388134,1,0.13716637697271752
31.0,412000.0,False,False,False,True,0,1.8586285039421633,1.2071501258306778,2.033814150801395,0,0.1727064620876558
7.0,203400.0,False,True,False,False,1,2.050872971329493,1.4927477187721314,2.342477321128211,0,0.13614462389271353
13.0,173400.0,True,False,False,False,0,1.7496919404420872,1.599578143517812,2.0885641000457706,0,0.20754011412062742
38.0,408300.0,False,False,False,True,1,1.9995815658478313,1.0620280301781813,1.683805214387935,0,0.22596531208290377
52.0,266500.0,False,False,True,False,0,1.7851587851967028,1.5567586164386726,2.0058414693090776,0,0.169194212868543
33.0,170500.0,True,False,False,False,1,1.6817051109433296,1.6726824933436921,1.5514831613652789,0,0.22030189282146656
52.0,338900.0,False,False,True,False,0,1.6339176730196667,1.3134609153838774,1.7158088471621773,0,0.22761934310391396
22.0,125400.0,False,False,False,True,1,1.8977370783951275,1.569558546202504,2.0454094944533723,0,0.1716210655890885
41.0,94200.0,True,False,False,False,1,1.5855033671938394,1.5302945431651127,1.284523257866513,0,0.2402155352128572
49.0,237000.0,False,True,False,False,1,1.9237653085437405,1.271989589839832,1.9293003913336046,0,0.15278758539231468
5.0,116600.0,False,True,False,False,2,1.666063572127481,1.2199942158254526,1.4946236984605858,0,0.23030123868208974
11.0,98500.0,False,True,False,False,4,1.953796354850504,1.453277181678818,2.0680909070928193,0,0.15044876484414876
26.0,133400.0,False,True,False,False,0,1.937800626660124,1.432894681914433,2.0651150089038626,0,0.1565259778561657
31.0,82000.0,False,True,False,False,4,1.6385798775371399,1.349455546671143,1.2441462936487815,0,0.22091800264225467
25.0,52800.0,False,True,False,False,4,1.8880626977733717,1.6698696516190181,1.25,0,0.19507291994932158
26.0,173200.0,True,False,False,False,1,1.4373382478493333,1.5981525262024339,1.3962449641807129,0,0.272710414551814
11.0,89100.0,False,True,False,False,2,1.9090579553958487,1.329100974296568,1.6383528313522702,0,0.17841712393618148
26.0,294500.0,False,False,False,True,3,1.7012971685683125,1.0848335863119454,1.8451829177618138,0,0.21687541570336988
22.0,232700.0,True,False,False,False,0,1.634283911020631,1.1990550716989548,2.1001666600534348,0,0.2503315606008271
25.0,288500.0,True,False,False,False,1,2.017448403388855,1.371599391847912,2.4862622548717583,0,0.1384191195602474
26.0,403000.0,True,False,False,False,0,2.077851294856501,1.2890225127385646,2.6220793275566625,0,0.13057067685386642
52.0,261100.0,False,False,True,False,0,1.786845454425626,1.15444707557755,1.9212495933636524,0,0.18166387837498385
34.0,184600.0,True,False,False,False,1,1.735292857560284,1.4294665329850993,1.9131126469708992,0,0.20432784239539936
40.0,187500.0,True,False,False,False,1,1.3181721906021833,1.4420289976421337,0.960937042682818,0,0.40961572183447753
12.0,396900.0,True,False,False,False,1,1.827732274174653,1.1272406056639694,2.4515709249377227,0,0.19576672159662192
18.0,351400.0,True,False,False,False,0,1.955261613918458,1.171756173015174,2.3038446128157166,0,0.1694037098042881
16.0,70700.0,True,False,False,False,2,2.0021430202907693,1.253639008849248,1.1484772527133482,0,0.22811203086434434
3.0,358000.0,True,False,False,False,1,1.9058648759468908,1.2447883524112309,2.47780144482967,0,0.18676860917837243
41.0,84200.0,True,False,False,False,2,1.8109199669671308,1.2561585574965062,1.640822964246905,0,0.1958996940457843
17.0,442500.0,True,False,False,False,0,2.1045695995198486,1.120979318815006,2.864768751574898,0,0.14103293273378179
27.0,86900.0,False,True,False,False,4,1.8761785515013902,1.352279372883484,1.7581524393521741,0,0.17562191978138814
43.0,131000.0,True,False,False,False,1,1.845364903373985,1.4144043200517837,1.808535318980528,0,0.17929999152296602
33.0,165100.0,False,False,False,True,1,1.706399620276898,1.6112544433604983,1.9685019685029528,0,0.21545276254623774
15.0,184900.0,False,False,True,False,0,1.7995984355439485,1.0690728911542045,2.1095023109728985,0,0.18683950838823205
16.0,156100.0,True,False,False,False,0,1.6480440351925216,1.5772315189571198,1.531763689346369,0,0.2183819282524433
35.0,93300.0,False,True,False,False,1,1.6378758477546338,1.7558665461674483,1.2901550294441362,0,0.23284115675219486
9.0,127200.0,True,False,False,False,1,1.6660811089513503,1.6859082764259383,1.437358688706476,0,0.22396625806567325
52.0,292600.0,True,False,False,False,1,1.882381682638388,1.3385486673784366,2.079663434308542,0,0.16220132710442536
11.0,227100.0,True,False,False,False,0,2.0334513921642507,1.3602738124179945,2.054507240191672,0,0.14057631421451136
52.0,90300.0,False,True,False,False,2,1.5188924825614145,1.0648822782914167,1.184651847590675,0,0.2690294113060607
30.0,362300.0,False,False,False,True,0,2.0037297199441397,1.2848942466781612,2.3231874655309244,0,0.1461142332647057
52.0,346800.0,False,False,True,False,0,2.047596545998914,1.2368589152429783,2.215468347776605,0,0.13546450747356778
42.0,318800.0,True,False,False,False,3,2.0748011621233338,1.312661110076437,2.1360009363293826,0,0.15718558352241233
21.0,242200.0,False,False,True,False,0,1.9858003061515366,1.4478686916198382,2.388974675462258,0,0.14604044401239522
31.0,65800.0,False,True,False,False,2,1.5717249588370423,1.3295545324681384,1.2869731931940152,0,0.34059485699574815
17.0,324000.0,True,False,False,False,1,1.9925893623344173,1.1182661004780463,2.265612499965517,0,0.15276736241203642
9.0,151900.0,False,True,False,False,1,2.040749936435138,1.384203039339893,2.240491017611988,0,0.1503402441618089
35.0,84400.0,False,True,False,False,2,1.912587971671621,1.3513780960136628,1.6344112089679268,0,0.17247598882990306
6.0,164800.0,False,False,False,True,1,1.744928169543956,1.0632729222228008,2.132627487396709,0,0.20450621990071186
13.0,94300.0,False,True,False,False,3,2.0488996360296015,1.374189304093615,2.142498541423074,0,0.14825630773979406
31.0,223800.0,True,False,False,False,1,1.7647609253381822,1.17752645542512,1.9313984570771512,0,0.1953136384137237
5.0,188200.0,False,True,False,False,2,2.0049243204923686,1.2992829841302609,2.086216671393458,0,0.14750613710858973
41.0,69800.0,False,True,False,False,0,1.856438746224821,1.2737761580941842,1.7421825392306054,0,0.17127944306233814
16.0,162500.0,False,True,False,False,1,2.432384432603609,1.4443011803942467,2.2297085011274453,0,0.16428793744623826
